symbol,date,price
USDollar Index,Aug 2009,78.14
USDollar Index,Sep 2009,76.75
USDollar Index,Oct 2009,76.39
USDollar Index,Nov 2009,74.87
USDollar Index,Dec 2009,77.91
USDollar Index,Jan 2010,79.46
USDollar Index,Feb 2010,80.38
USDollar Index,Mar 2010,81.07
USDollar Index,Apr 2010,81.83
USDollar Index,May 2010,86.49
USDollar Index,Jun 2010,86.07
USDollar Index,Jul 2010,81.6
USDollar Index,Aug 2010,83.12
USDollar Index,Sep 2010,78.76
USDollar Index,Oct 2010,77.17
USDollar Index,Nov 2010,81.27
USDollar Index,Dec 2010,79
USDollar Index,Jan 2011,77.64
USDollar Index,Feb 2011,76.84
USDollar Index,Mar 2011,76.09
USDollar Index,Apr 2011,73
USDollar Index,May 2011,74.44
USDollar Index,Jun 2011,74.49
USDollar Index,Jul 2011,74.15
USDollar Index,Aug 2011,73.99
USDollar Index,Sep 2011,78.76
USDollar Index,Oct 2011,76.5
USDollar Index,Nov 2011,78.34
USDollar Index,Dec 2011,80.14
USDollar Index,Jan 2012,79.28
USDollar Index,Feb 2012,78.8
USDollar Index,Mar 2012,78.94
USDollar Index,Apr 2012,78.79
USDollar Index,May 2012,83.09
USDollar Index,Jun 2012,81.68
USDollar Index,Jul 2012,82.7
USDollar Index,Aug 2012,81.2
USDollar Index,Sep 2012,79.91
USDollar Index,Oct 2012,79.9
USDollar Index,Nov 2012,80.14
USDollar Index,Dec 2012,79.757
USDollar Index,Jan 2013,79.099
USDollar Index,Feb 2013,81.942
USDollar Index,Mar 2013,82.958
USDollar Index,Apr 2013,81.688
USDollar Index,May 2013,83.242
USDollar Index,Jun 2013,83.168
USDollar Index,Jul 2013,81.667
USDollar Index,Aug 2013,82.015
USDollar Index,Sep 2013,80.245
USDollar Index,Oct 2013,80.246
USDollar Index,Nov 2013,80.63
USDollar Index,Dec 2013,80.193
USDollar Index,Jan 2014,81.239
USDollar Index,Feb 2014,79.769
USDollar Index,Mar 2014,80.097
USDollar Index,Apr 2014,79.508
USDollar Index,May 2014,80.377
USDollar Index,Jun 2014,79.787
USDollar Index,Jul 2014,81.441
USDollar Index,Aug 2014,82.716
USDollar Index,Sep 2014,85.916
COMEX Gold Price,Nov 2004,451.3
COMEX Gold Price,Dec 2004,438.4
COMEX Gold Price,Jan 2005,421.8
COMEX Gold Price,Feb 2005,437.5
COMEX Gold Price,Mar 2005,431.1
COMEX Gold Price,Apr 2005,436.1
COMEX Gold Price,May 2005,418.9
COMEX Gold Price,Jun 2005,437.1
COMEX Gold Price,Jul 2005,432.8
COMEX Gold Price,Aug 2005,435.1
COMEX Gold Price,Sep 2005,472.3
COMEX Gold Price,Oct 2005,466.9
COMEX Gold Price,Nov 2005,494.6
COMEX Gold Price,Dec 2005,518.9
COMEX Gold Price,Jan 2006,570.8
COMEX Gold Price,Feb 2006,563.9
COMEX Gold Price,Mar 2006,581.8
COMEX Gold Price,Apr 2006,654.5
COMEX Gold Price,May 2006,642.5
COMEX Gold Price,Jun 2006,616
COMEX Gold Price,Jul 2006,634.2
COMEX Gold Price,Aug 2006,634.2
COMEX Gold Price,Sep 2006,604.2
COMEX Gold Price,Oct 2006,606.8
COMEX Gold Price,Nov 2006,646.9
COMEX Gold Price,Dec 2006,638
COMEX Gold Price,Jan 2007,652
COMEX Gold Price,Feb 2007,672.5
COMEX Gold Price,Mar 2007,669
COMEX Gold Price,Apr 2007,683.5
COMEX Gold Price,May 2007,661
COMEX Gold Price,Jun 2007,650.9
COMEX Gold Price,Jul 2007,666.9
COMEX Gold Price,Aug 2007,676
COMEX Gold Price,Sep 2007,742.8
COMEX Gold Price,Oct 2007,795.3
COMEX Gold Price,Nov 2007,782.2
COMEX Gold Price,Dec 2007,838
COMEX Gold Price,Jan 2008,924.5
COMEX Gold Price,Feb 2008,976.3
COMEX Gold Price,Mar 2008,916
COMEX Gold Price,Apr 2008,878.7
COMEX Gold Price,May 2008,885.3
COMEX Gold Price,Jun 2008,928.9
COMEX Gold Price,Jul 2008,913.1
COMEX Gold Price,Aug 2008,832.1
COMEX Gold Price,Sep 2008,874.2
COMEX Gold Price,Oct 2008,718.2
COMEX Gold Price,Nov 2008,816.2
COMEX Gold Price,Dec 2008,884.3
COMEX Gold Price,Jan 2009,928.4
COMEX Gold Price,Feb 2009,942.5
