date,team,points,opp,oppPoints,win,count
20140504,Raptors,103,Nets,104,0,2
20140504,Spurs,119,Mavericks,96,1,2
20140505,Pacers,96,Wizards,102,0,2
20140505,Thunder,105,Clippers,122,0,2
20140506,Heat,107,Nets,86,1,2
20140506,Spurs,116,Trailblazers,92,1,2
20140507,Pacers,86,Wizards,82,1,2
20140507,Thunder,112,Clippers,101,1,2
20140508,Heat,94,Nets,82,1,2
20140508,Spurs,114,Trailblazers,97,1,2
20140509,Clippers,112,Thunder,118,0,2
20140509,Wizards,63,Pacers,85,0,2
20140511,Clippers,101,Thunder,99,1,2
20140511,Wizards,92,Pacers,95,0,2
20140513,Pacers,79,Wizards,102,0,2
20140513,Thunder,105,Clippers,104,1,2
20140514,Heat,96,Nets,94,1,2
20140514,Spurs,104,Trailblazers,82,1,2
20140515,Clippers,98,Thunder,104,0,2
20140515,Wizards,80,Pacers,93,0,2
20140519,Spurs,122,Thunder,105,1,1
20140521,Spurs,112,Thunder,77,1,1
20140524,Heat,99,Pacers,87,1,1
20140525,Thunder,106,Spurs,97,1,1
20140526,Heat,102,Pacers,90,1,1
20140527,Thunder,105,Spurs,92,1,1
20140529,Spurs,117,Thunder,89,1,1
20140530,Heat,117,Pacers,92,1,1
20140531,Thunder,107,Spurs,112,0,1
20140605,Spurs,110,Heat,95,1,1
20140608,Spurs,96,Heat,98,0,1
20140610,Heat,92,Spurs,111,0,1
20140612,Heat,86,Spurs,107,0,1
20140615,Spurs,104,Heat,87,1,1
