name,count
纳迪亚,58.27
ONLY,58.27
杰克琼斯,56.43
veromada,56.08
初语,55.48
罗蒙,54.77
诺帝卡,50.01
artka,47.58
zimmur,31.24
名人瑞裳,29.84
幸福时光,30.3
云欧,40.4
吉普,40.5
绅士犀,50.5
YYK,90.5
CMP,50.4
随心索衣,80.8
美克派美,50.5
森雷司,60.5
森巴克,86.4
艾梵保罗,89.5
韩都衣舍,80.5
新尚衣,59.4
优衣库,89.4
IKULANG,89.9
PayDaily,50.4
普尔兰德,98.8
杰诺斯,90.4
唐狮,60.5
森马,50.5
