name,count
小米,76.26
迪信通,78.31
金士顿,88.49
卡西欧,90.08
三星,93.42
海尔,93.52
希捷,94.18
能量数码,94.82
罗技,96.23
三际数码,96.7
华为,90.02
喜讯,30.01
FAST,40.01
Cisco,99.99
水星,80.9
友讯,60.5
普联技术,89.9
腾达,89.9
TOTOLINK,89.9
网伴,89
爱国者,90.02
希捷,90.8
西部数据,99.9
威玛仕,98,9
泓能,90.9
飞毛腿,98.9
羽博,98.8
好易通,70.3
沃品,70.7
酷比魔方,95.4
爱家,84.9
威戈,83.2
半岛铁盒,70.8
诺为,68.9
吉满,69.9
紫光光电,69.9
劲量,87.89
