name,count
北极绒,128.15
宜而爽,124.92
浪莎,123.84
夏娜,118.98
周生生,118.39
乐语,116.27
百家好世,114.19
飞利浦,113.95
美的空调,113.72
修丽可,111.03
南极人,150.03
曼妮芬,130.05
红豆/Hodo,101.1
七匹狼,130.02
lovo,120.01
Playboy,102.01
多喜爱,110.01
富安娜,101.1
水星家纺,102.01
梦洁,150.01
罗莱,130.01
骆驼,120.01
探路者,101.01
CAT,110.01
