name,count
膜法世家,58.06
御泥坊,61.94
pda,64.41
高丝,65.73
牛尔,75.34
阿芙精油,77.48
美即,78.02
倩碧,81.88
玉兰油,85.64
相宜本草,89.07
兰蔻,50.5
兰芝,60.5
资生堂,49.9
完美,95.6
碧欧泉,80.8
薇姿,60.5
柏氏,70.5
丸美,60.6
泊美,70.8
片仔癀,60.5
泊莱雅,49.9
欧莱雅,79.9
婷美,78.8
自然堂,60.9
春纪,79.9
韩伊,67.5
佰草集,70.4
娇韵诗,79.4
