Champion,Primary,Popularity,WinRatio,KDARatio,KDRatio,AvgKills,AvgDeaths,AvgAssists
Swain,Mage,0.0467 ,0.5641 ,2.784,1.325,7.974,6.017,8.778
Syndra,Mage,0.1111 ,0.5504 ,2.455,1.344,8.781,6.532,7.255
Talon,Assassin,0.0511 ,0.5156 ,2.34,1.258,9.93,7.891,8.531
Taric,Support,0.0280 ,0.5286 ,2.879,0.384,2.443,6.357,15.857
Teemo,Marksman,0.0639 ,0.4938 ,1.807,0.874,6.013,6.881,6.419
Thresh,Support,0.3204 ,0.4501 ,2.553,0.324,2.082,6.433,14.343
Tristana,Marksman,0.1882 ,0.4713 ,2.337,1.221,7.584,6.21,6.93
Trundle,Fighter,0.0192 ,0.4375 ,2.444,0.835,4.938,5.917,9.521
Tryndamere,Fighter,0.0715 ,0.4804 ,1.842,1.031,6.911,6.704,5.436
TwistedFate,Mage,0.0431 ,0.4907 ,1.932,0.843,6.176,7.324,7.972
Twitch,Marksman,0.0655 ,0.4146 ,2.248,1.16,8.14,7.018,7.634
Udyr,Fighter,0.0951 ,0.5126 ,2.115,0.916,5.105,5.576,6.685
Urgot,Marksman,0.0056 ,0.4286 ,1.898,0.833,6.429,7.714,8.214
Varus,Marksman,0.0416 ,0.5673 ,2.46,1.154,8.077,7,9.144
Vayne,Marksman,0.2413 ,0.5033 ,2.228,1.237,8.24,6.662,6.604
Veigar,Mage,0.0531 ,0.4361 ,2.158,1.167,7.609,6.519,6.459
VelKoz,Mage,0.0368 ,0.4239 ,2.319,0.894,5.75,6.435,9.174
Vi,Fighter,0.1294 ,0.5062 ,2.51,0.951,5.775,6.071,9.466
Viktor,Mage,0.0236 ,0.4237 ,2.294,1.119,6.712,6,7.051
Vladimir,Mage,0.0435 ,0.5413 ,2.071,1,6.092,6.092,6.523
Volibear,Fighter,0.0475 ,0.4706 ,2.199,0.804,5.336,6.639,9.261
Warwick,Fighter,0.1402 ,0.5812 ,2.874,1.081,6.185,5.721,10.254
Wukong,Fighter,0.1418 ,0.5634 ,2.724,1.201,7.068,5.885,8.961
Xerath,Mage,0.0591 ,0.4257 ,2.558,1.151,6.946,6.034,8.486
XinZhao,Fighter,0.0891 ,0.4798 ,2.197,0.993,7.004,7.054,8.493
Yasuo,Fighter,0.0815 ,0.4167 ,1.649,0.85,7.314,8.608,6.877
Yorick,Fighter,0.0192 ,0.5833 ,2.511,1.098,5.375,4.896,6.917
Zac,Tank,0.0116 ,0.2759 ,2.211,0.621,3.448,5.552,8.828
Zed,Assassin,0.1686 ,0.4265 ,1.95,1.121,7.929,7.076,5.87
Ziggs,Mage,0.0455 ,0.5088 ,2.864,1.181,6.184,5.237,8.816
Zilean,Support,0.0412 ,0.5728 ,2.492,0.57,3.573,6.272,12.058
Zyra,Mage,0.0368 ,0.5217 ,2.253,0.63,4.554,7.228,11.728
