id,Location,AQI,Grade,Pollutant,Airquality,Year_Month,Day
93,海淀北京植物园,241,V,细颗粒物,重度污染,2013-1,10
94,丰台花园,327,VI,细颗粒物,重度污染,2013-1,10
95,通州新城,373,VI,细颗粒物,重度污染,2013-1,10
96,怀柔镇,229,V,细颗粒物,重度污染,2013-1,10
97,西直门北大街,282,V,细颗粒物,重度污染,2013-1,10
98,南三环西路,334,VI,细颗粒物,重度污染,2013-1,10
99,京东北密云水库,190,IV,细颗粒物,中度污染,2013-1,10
100,东城东四,405,VI,细颗粒物,重度污染,2013-1,11
101,西城万寿西宫,422,VI,细颗粒物,重度污染,2013-1,11
102,朝阳奥体中心,386,VI,细颗粒物,重度污染,2013-1,11
103,海淀北京植物园,304,VI,细颗粒物,重度污染,2013-1,11
104,丰台花园,426,VI,细颗粒物,重度污染,2013-1,11
105,通州新城,427,VI,细颗粒物,重度污染,2013-1,11
106,怀柔镇,296,V,细颗粒物,重度污染,2013-1,11
107,西直门北大街,345,VI,细颗粒物,重度污染,2013-1,11
108,南三环西路,436,VI,细颗粒物,重度污染,2013-1,11
109,京东北密云水库,261,V,细颗粒物,重度污染,2013-1,11
110,东城东四,499,VI,细颗粒物,重度污染,2013-1,12
111,西城万寿西宫,500,VI,可吸入颗粒物;细颗粒,重度污染,2013-1,12
112,朝阳奥体中心,457,VI,细颗粒物,重度污染,2013-1,12
113,海淀北京植物园,360,VI,细颗粒物,重度污染,2013-1,12
114,丰台花园,500,VI,可吸入颗粒物;细颗粒,重度污染,2013-1,12
115,通州新城,500,VI,可吸入颗粒物;细颗粒,重度污染,2013-1,12
116,怀柔镇,288,V,细颗粒物,重度污染,2013-1,12
117,西直门北大街,471,VI,可吸入颗粒物,重度污染,2013-1,12
118,南三环西路,500,VI,可吸入颗粒物;细颗粒,重度污染,2013-1,12
119,京东北密云水库,210,V,细颗粒物,重度污染,2013-1,12
120,东城东四,400,VI,细颗粒物,重度污染,2013-1,13
121,西城万寿西宫,382,VI,细颗粒物,重度污染,2013-1,13
122,朝阳奥体中心,428,VI,细颗粒物,重度污染,2013-1,13
123,海淀北京植物园,391,VI,细颗粒物,重度污染,2013-1,13
124,丰台花园,393,VI,细颗粒物,重度污染,2013-1,13
125,通州新城,500,VI,可吸入颗粒物;细颗粒,重度污染,2013-1,13
126,怀柔镇,433,VI,细颗粒物,重度污染,2013-1,13
127,西直门北大街,332,VI,可吸入颗粒物,重度污染,2013-1,13
128,南三环西路,409,VI,细颗粒物,重度污染,2013-1,13
129,京东北密云水库,258,V,细颗粒物,重度污染,2013-1,13
130,东城东四,296,V,细颗粒物,重度污染,2013-1,14
131,西城万寿西宫,295,V,细颗粒物,重度污染,2013-1,14
132,朝阳奥体中心,331,VI,细颗粒物,重度污染,2013-1,14
133,海淀北京植物园,280,V,细颗粒物,重度污染,2013-1,14
134,丰台花园,310,VI,细颗粒物,重度污染,2013-1,14
135,通州新城,316,VI,细颗粒物,重度污染,2013-1,14
136,怀柔镇,270,V,细颗粒物,重度污染,2013-1,14
137,西直门北大街,-,-,-,-,2013-1,14
138,南三环西路,347,VI,细颗粒物,重度污染,2013-1,14
139,京东北密云水库,198,IV,细颗粒物,中度污染,2013-1,14
140,东城东四,125,III,细颗粒物,轻度污染,2013-1,15
141,西城万寿西宫,122,III,细颗粒物,轻度污染,2013-1,15
142,朝阳奥体中心,128,III,细颗粒物,轻度污染,2013-1,15
143,海淀北京植物园,114,III,细颗粒物,轻度污染,2013-1,15
144,丰台花园,132,III,细颗粒物,轻度污染,2013-1,15
145,通州新城,134,III,细颗粒物,轻度污染,2013-1,15
146,怀柔镇,149,III,细颗粒物,轻度污染,2013-1,15
147,西直门北大街,-,-,-,-,2013-1,15
148,南三环西路,137,III,细颗粒物,轻度污染,2013-1,15
149,京东北密云水库,103,III,细颗粒物,轻度污染,2013-1,15
150,东城东四,115,III,细颗粒物,轻度污染,2013-1,16
151,西城万寿西宫,130,III,细颗粒物,轻度污染,2013-1,16
152,朝阳奥体中心,102,III,细颗粒物,轻度污染,2013-1,16
153,海淀北京植物园,84,II,细颗粒物,良,2013-1,16
154,丰台花园,142,III,细颗粒物,轻度污染,2013-1,16
155,通州新城,179,IV,细颗粒物,中度污染,2013-1,16
156,怀柔镇,52,II,细颗粒物,良,2013-1,16
157,西直门北大街,-,-,-,-,2013-1,16
158,南三环西路,153,IV,细颗粒物,中度污染,2013-1,16
159,京东北密云水库,38,I,-,优,2013-1,16
160,东城东四,92,II,二氧化氮,良,2013-1,17
161,西城万寿西宫,93,II,二氧化氮,良,2013-1,17
162,朝阳奥体中心,99,II,二氧化氮,良,2013-1,17
163,海淀北京植物园,83,II,二氧化氮,良,2013-1,17
164,丰台花园,109,III,二氧化氮,轻度污染,2013-1,17
165,通州新城,84,II,细颗粒物,良,2013-1,17
166,怀柔镇,49,I,-,优,2013-1,17
167,西直门北大街,102,III,二氧化氮,轻度污染,2013-1,17
168,南三环西路,95,II,二氧化氮;细颗粒物,良,2013-1,17
169,京东北密云水库,37,I,-,优,2013-1,17
170,东城东四,293,V,细颗粒物,重度污染,2013-1,18
171,西城万寿西宫,349,VI,细颗粒物,重度污染,2013-1,18
172,朝阳奥体中心,223,V,细颗粒物,重度污染,2013-1,18
173,海淀北京植物园,190,IV,细颗粒物,中度污染,2013-1,18
174,丰台花园,352,VI,细颗粒物,重度污染,2013-1,18
175,通州新城,418,VI,细颗粒物,重度污染,2013-1,18
176,怀柔镇,137,III,细颗粒物,轻度污染,2013-1,18
177,西直门北大街,-,-,-,-,2013-1,18
178,南三环西路,411,VI,细颗粒物,重度污染,2013-1,18
179,京东北密云水库,92,II,细颗粒物,良,2013-1,18
180,东城东四,207,V,细颗粒物,重度污染,2013-1,19
181,西城万寿西宫,227,V,细颗粒物,重度污染,2013-1,19
182,朝阳奥体中心,200,IV,细颗粒物,中度污染,2013-1,19
183,海淀北京植物园,162,IV,细颗粒物,中度污染,2013-1,19
184,丰台花园,245,V,细颗粒物,重度污染,2013-1,19
185,通州新城,267,V,细颗粒物,重度污染,2013-1,19
186,怀柔镇,180,IV,细颗粒物,中度污染,2013-1,19
187,西直门北大街,-,-,-,-,2013-1,19
188,南三环西路,281,V,细颗粒物,重度污染,2013-1,19
189,京东北密云水库,140,III,细颗粒物,轻度污染,2013-1,19
190,东城东四,118,III,细颗粒物,轻度污染,2013-1,20
191,西城万寿西宫,132,III,细颗粒物,轻度污染,2013-1,20
192,朝阳奥体中心,112,III,细颗粒物,轻度污染,2013-1,20
193,海淀北京植物园,93,II,细颗粒物,良,2013-1,20
194,丰台花园,118,III,细颗粒物,轻度污染,2013-1,20
195,通州新城,148,III,细颗粒物,轻度污染,2013-1,20
