id,Location,AQI,Grade,Pollutant,Airquality,Year_Month,Day
832,朝阳奥体中心,138,III,细颗粒物,轻度污染,2013-3,25
833,海淀北京植物园,128,III,细颗粒物,轻度污染,2013-3,25
834,丰台花园,133,III,细颗粒物,轻度污染,2013-3,25
835,通州新城,139,III,细颗粒物,轻度污染,2013-3,25
836,怀柔镇,132,III,细颗粒物,轻度污染,2013-3,25
837,西直门北大街,133,III,细颗粒物,轻度污染,2013-3,25
838,南三环西路,137,III,细颗粒物,轻度污染,2013-3,25
839,京东北密云水库,88,II,细颗粒物,良,2013-3,25
840,东城东四,228,V,细颗粒物,重度污染,2013-3,26
841,西城万寿西宫,234,V,细颗粒物,重度污染,2013-3,26
842,朝阳奥体中心,240,V,细颗粒物,重度污染,2013-3,26
843,海淀北京植物园,225,V,细颗粒物,重度污染,2013-3,26
844,丰台花园,239,V,细颗粒物,重度污染,2013-3,26
845,通州新城,212,V,细颗粒物,重度污染,2013-3,26
846,怀柔镇,235,V,细颗粒物,重度污染,2013-3,26
847,西直门北大街,235,V,细颗粒物,重度污染,2013-3,26
848,南三环西路,236,V,细颗粒物,重度污染,2013-3,26
849,京东北密云水库,211,V,细颗粒物,重度污染,2013-3,26
850,东城东四,102,III,细颗粒物,轻度污染,2013-3,27
851,西城万寿西宫,104,III,细颗粒物,轻度污染,2013-3,27
852,朝阳奥体中心,113,III,细颗粒物,轻度污染,2013-3,27
853,海淀北京植物园,109,III,细颗粒物,轻度污染,2013-3,27
854,丰台花园,103,III,细颗粒物,轻度污染,2013-3,27
855,通州新城,110,III,细颗粒物,轻度污染,2013-3,27
856,怀柔镇,122,III,细颗粒物,轻度污染,2013-3,27
857,西直门北大街,110,III,细颗粒物,轻度污染,2013-3,27
858,南三环西路,113,III,细颗粒物,轻度污染,2013-3,27
859,京东北密云水库,118,III,细颗粒物,轻度污染,2013-3,27
860,东城东四,53,II,可吸入颗粒物,良,2013-3,28
861,西城万寿西宫,51,II,可吸入颗粒物,良,2013-3,28
862,朝阳奥体中心,53,II,二氧化氮;可吸入颗粒,良,2013-3,28
863,海淀北京植物园,57,II,臭氧8小时,良,2013-3,28
864,丰台花园,53,II,二氧化氮;可吸入颗粒,良,2013-3,28
865,通州新城,59,II,可吸入颗粒物,良,2013-3,28
866,怀柔镇,53,II,臭氧8小时,良,2013-3,28
867,西直门北大街,65,II,二氧化氮,良,2013-3,28
868,南三环西路,68,II,二氧化氮,良,2013-3,28
869,京东北密云水库,50,I,-,优,2013-3,28
870,东城东四,117,III,细颗粒物,轻度污染,2013-3,29
871,西城万寿西宫,110,III,细颗粒物,轻度污染,2013-3,29
872,朝阳奥体中心,114,III,细颗粒物,轻度污染,2013-3,29
873,海淀北京植物园,82,II,细颗粒物,良,2013-3,29
874,丰台花园,107,III,细颗粒物,轻度污染,2013-3,29
875,通州新城,99,II,细颗粒物,良,2013-3,29
876,怀柔镇,69,II,细颗粒物,良,2013-3,29
877,西直门北大街,103,III,细颗粒物,轻度污染,2013-3,29
878,南三环西路,118,III,细颗粒物,轻度污染,2013-3,29
879,京东北密云水库,49,I,-,优,2013-3,29
880,东城东四,108,III,细颗粒物,轻度污染,2013-3,30
881,西城万寿西宫,100,II,细颗粒物,良,2013-3,30
882,朝阳奥体中心,109,III,细颗粒物,轻度污染,2013-3,30
883,海淀北京植物园,108,III,细颗粒物,轻度污染,2013-3,30
884,丰台花园,99,II,细颗粒物,良,2013-3,30
885,通州新城,98,II,细颗粒物,良,2013-3,30
886,怀柔镇,109,III,细颗粒物,轻度污染,2013-3,30
887,西直门北大街,105,III,细颗粒物,轻度污染,2013-3,30
888,南三环西路,112,III,细颗粒物,轻度污染,2013-3,30
889,京东北密云水库,103,III,细颗粒物,轻度污染,2013-3,30
890,东城东四,236,V,细颗粒物,重度污染,2013-3,31
891,西城万寿西宫,232,V,细颗粒物,重度污染,2013-3,31
892,朝阳奥体中心,231,V,细颗粒物,重度污染,2013-3,31
893,海淀北京植物园,226,V,细颗粒物,重度污染,2013-3,31
894,丰台花园,227,V,细颗粒物,重度污染,2013-3,31
895,通州新城,225,V,细颗粒物,重度污染,2013-3,31
896,怀柔镇,208,V,细颗粒物,重度污染,2013-3,31
897,西直门北大街,234,V,细颗粒物,重度污染,2013-3,31
898,南三环西路,245,V,细颗粒物,重度污染,2013-3,31
899,京东北密云水库,173,IV,细颗粒物,中度污染,2013-3,31
900,东城东四,113,III,细颗粒物,轻度污染,2013-4,1
901,西城万寿西宫,107,III,细颗粒物,轻度污染,2013-4,1
902,朝阳奥体中心,112,III,细颗粒物,轻度污染,2013-4,1
903,海淀北京植物园,88,II,细颗粒物,良,2013-4,1
904,丰台花园,113,III,细颗粒物,轻度污染,2013-4,1
905,通州新城,163,IV,细颗粒物,中度污染,2013-4,1
906,怀柔镇,160,IV,细颗粒物,中度污染,2013-4,1
907,西直门北大街,117,III,细颗粒物,轻度污染,2013-4,1
908,南三环西路,124,III,细颗粒物,轻度污染,2013-4,1
909,京东北密云水库,130,III,细颗粒物,轻度污染,2013-4,1
910,东城东四,200,III2,可吸入颗粒物,轻度污染,2012-1,10
911,西城万寿西宫,206,IV1,可吸入颗粒物,中度污染,2012-1,10
912,朝阳奥体中心,183,III2,可吸入颗粒物,轻度污染,2012-1,10
913,海淀北京植物园,106,III1,可吸入颗粒物,轻微污染,2012-1,10
914,丰台花园,189,III2,可吸入颗粒物,轻度污染,2012-1,10
915,通州新城,208,IV1,可吸入颗粒物,中度污染,2012-1,10
916,怀柔镇,67,II,可吸入颗粒物,良,2012-1,10
917,东城东四,23,I,-,优,2012-1,11
918,西城万寿西宫,21,I,-,优,2012-1,11
919,朝阳奥体中心,22,I,-,优,2012-1,11
920,海淀北京植物园,37,I,-,优,2012-1,11
921,丰台花园,29,I,-,优,2012-1,11
922,通州新城,35,I,-,优,2012-1,11
923,怀柔镇,53,II,二氧化硫,良,2012-1,11
924,东城东四,93,II,可吸入颗粒物,良,2012-1,12
925,西城万寿西宫,91,II,可吸入颗粒物,良,2012-1,12
926,朝阳奥体中心,90,II,可吸入颗粒物,良,2012-1,12
927,海淀北京植物园,72,II,可吸入颗粒物,良,2012-1,12
928,丰台花园,100,II,可吸入颗粒物,良,2012-1,12
929,通州新城,89,II,可吸入颗粒物,良,2012-1,12
930,怀柔镇,74,II,可吸入颗粒物,良,2012-1,12
931,东城东四,81,II,可吸入颗粒物,良,2012-1,13
932,西城万寿西宫,76,II,可吸入颗粒物,良,2012-1,13
933,朝阳奥体中心,81,II,可吸入颗粒物,良,2012-1,13
934,海淀北京植物园,64,II,可吸入颗粒物,良,2012-1,13
935,丰台花园,95,II,可吸入颗粒物,良,2012-1,13
936,通州新城,90,II,二氧化硫,良,2012-1,13
937,怀柔镇,73,II,可吸入颗粒物,良,2012-1,13
938,东城东四,63,II,可吸入颗粒物,良,2012-1,14
939,西城万寿西宫,59,II,可吸入颗粒物,良,2012-1,14
940,朝阳奥体中心,66,II,可吸入颗粒物,良,2012-1,14
941,海淀北京植物园,52,II,二氧化硫,良,2012-1,14
942,丰台花园,68,II,可吸入颗粒物,良,2012-1,14
943,通州新城,84,II,可吸入颗粒物,良,2012-1,14
944,怀柔镇,56,II,可吸入颗粒物,良,2012-1,14
945,东城东四,84,II,可吸入颗粒物,良,2012-1,15
946,西城万寿西宫,83,II,可吸入颗粒物,良,2012-1,15
947,朝阳奥体中心,69,II,可吸入颗粒物,良,2012-1,15
948,海淀北京植物园,71,II,二氧化硫,良,2012-1,15
949,丰台花园,87,II,可吸入颗粒物,良,2012-1,15
950,通州新城,98,II,可吸入颗粒物,良,2012-1,15
951,怀柔镇,47,I,-,优,2012-1,15
952,东城东四,111,III1,可吸入颗粒物,轻微污染,2012-1,16
953,西城万寿西宫,104,III1,可吸入颗粒物,轻微污染,2012-1,16
954,朝阳奥体中心,119,III1,可吸入颗粒物,轻微污染,2012-1,16
955,海淀北京植物园,101,III1,可吸入颗粒物,轻微污染,2012-1,16
956,丰台花园,127,III1,可吸入颗粒物,轻微污染,2012-1,16
957,通州新城,155,III2,可吸入颗粒物,轻度污染,2012-1,16
958,怀柔镇,76,II,可吸入颗粒物,良,2012-1,16
959,东城东四,105,III1,可吸入颗粒物,轻微污染,2012-1,17
960,西城万寿西宫,100,II,可吸入颗粒物,良,2012-1,17
961,朝阳奥体中心,118,III1,可吸入颗粒物,轻微污染,2012-1,17
962,海淀北京植物园,107,III1,可吸入颗粒物,轻微污染,2012-1,17
963,丰台花园,112,III1,可吸入颗粒物,轻微污染,2012-1,17
964,通州新城,136,III1,可吸入颗粒物,轻微污染,2012-1,17
965,怀柔镇,99,II,可吸入颗粒物,良,2012-1,17
966,东城东四,222,IV1,可吸入颗粒物,中度污染,2012-1,18
967,西城万寿西宫,210,IV1,可吸入颗粒物,中度污染,2012-1,18
968,朝阳奥体中心,220,IV1,可吸入颗粒物,中度污染,2012-1,18
969,海淀北京植物园,182,III2,可吸入颗粒物,轻度污染,2012-1,18
970,丰台花园,203,IV1,可吸入颗粒物,中度污染,2012-1,18
971,通州新城,196,III2,可吸入颗粒物,轻度污染,2012-1,18
972,怀柔镇,130,III1,可吸入颗粒物,轻微污染,2012-1,18
973,东城东四,318,V,可吸入颗粒物,重度污染,2012-1,19
974,西城万寿西宫,315,V,可吸入颗粒物,重度污染,2012-1,19
975,朝阳奥体中心,304,V,可吸入颗粒物,重度污染,2012-1,19
976,海淀北京植物园,248,IV1,可吸入颗粒物,中度污染,2012-1,19
977,丰台花园,323,V,可吸入颗粒物,重度污染,2012-1,19
978,通州新城,389,V,可吸入颗粒物,重度污染,2012-1,19
979,怀柔镇,169,III2,可吸入颗粒物,轻度污染,2012-1,19
980,东城东四,130,III1,可吸入颗粒物,轻微污染,2012-1,20
981,西城万寿西宫,147,III1,可吸入颗粒物,轻微污染,2012-1,20
982,朝阳奥体中心,133,III1,可吸入颗粒物,轻微污染,2012-1,20
983,海淀北京植物园,131,III1,可吸入颗粒物,轻微污染,2012-1,20
984,丰台花园,144,III1,可吸入颗粒物,轻微污染,2012-1,20
985,通州新城,169,III2,可吸入颗粒物,轻度污染,2012-1,20
986,怀柔镇,115,III1,可吸入颗粒物,轻微污染,2012-1,20
987,东城东四,23,I,-,优,2012-1,21
988,西城万寿西宫,20,I,-,优,2012-1,21
989,朝阳奥体中心,16,I,-,优,2012-1,21
990,海淀北京植物园,36,I,-,优,2012-1,21
991,丰台花园,19,I,-,优,2012-1,21
992,通州新城,23,I,-,优,2012-1,21
993,怀柔镇,31,I,-,优,2012-1,21
994,东城东四,23,I,-,优,2012-1,22
995,西城万寿西宫,23,I,-,优,2012-1,22
996,朝阳奥体中心,20,I,-,优,2012-1,22
997,海淀北京植物园,31,I,-,优,2012-1,22
998,丰台花园,24,I,-,优,2012-1,22
999,通州新城,44,I,-,优,2012-1,22
1000,怀柔镇,39,I,-,优,2012-1,22
1001,东城东四,186,III2,可吸入颗粒物,轻度污染,2012-1,23
1002,西城万寿西宫,172,III2,可吸入颗粒物,轻度污染,2012-1,23
1003,朝阳奥体中心,121,III1,可吸入颗粒物,轻微污染,2012-1,23
1004,海淀北京植物园,82,II,可吸入颗粒物,良,2012-1,23
1005,丰台花园,168,III2,可吸入颗粒物,轻度污染,2012-1,23
1006,通州新城,187,III2,可吸入颗粒物,轻度污染,2012-1,23
1007,怀柔镇,92,II,可吸入颗粒物,良,2012-1,23
1008,东城东四,53,II,可吸入颗粒物,良,2012-1,24
1009,西城万寿西宫,55,II,可吸入颗粒物,良,2012-1,24
1010,朝阳奥体中心,45,I,-,优,2012-1,24
1011,海淀北京植物园,30,I,-,优,2012-1,24
1012,丰台花园,51,II,可吸入颗粒物,良,2012-1,24
1013,通州新城,60,II,可吸入颗粒物,良,2012-1,24
1014,怀柔镇,34,I,-,优,2012-1,24
1015,东城东四,46,I,-,优,2012-1,25
1016,西城万寿西宫,49,I,-,优,2012-1,25
1017,朝阳奥体中心,34,I,-,优,2012-1,25
1018,海淀北京植物园,49,I,-,优,2012-1,25
1019,丰台花园,54,II,可吸入颗粒物,良,2012-1,25
1020,通州新城,66,II,可吸入颗粒物,良,2012-1,25
1021,怀柔镇,35,I,-,优,2012-1,25
1022,东城东四,84,II,可吸入颗粒物,良,2012-1,26
1023,西城万寿西宫,86,II,可吸入颗粒物,良,2012-1,26
1024,朝阳奥体中心,74,II,可吸入颗粒物,良,2012-1,26
1025,海淀北京植物园,67,II,二氧化硫,良,2012-1,26
1026,丰台花园,87,II,可吸入颗粒物,良,2012-1,26
1027,通州新城,99,II,可吸入颗粒物,良,2012-1,26
1028,怀柔镇,69,II,可吸入颗粒物,良,2012-1,26
1029,东城东四,74,II,可吸入颗粒物,良,2012-1,27
1030,西城万寿西宫,76,II,可吸入颗粒物,良,2012-1,27
1031,朝阳奥体中心,63,II,可吸入颗粒物,良,2012-1,27
1032,海淀北京植物园,64,II,二氧化硫,良,2012-1,27
1033,丰台花园,71,II,可吸入颗粒物,良,2012-1,27
1034,通州新城,128,III1,可吸入颗粒物,轻微污染,2012-1,27
1035,怀柔镇,62,II,可吸入颗粒物,良,2012-1,27
1036,东城东四,79,II,可吸入颗粒物,良,2012-1,28
1037,西城万寿西宫,75,II,可吸入颗粒物,良,2012-1,28
1038,朝阳奥体中心,76,II,可吸入颗粒物,良,2012-1,28
1039,海淀北京植物园,69,II,可吸入颗粒物,良,2012-1,28
1040,丰台花园,77,II,可吸入颗粒物,良,2012-1,28
1041,通州新城,71,II,二氧化硫,良,2012-1,28
1042,怀柔镇,66,II,可吸入颗粒物,良,2012-1,28
1043,东城东四,60,II,可吸入颗粒物,良,2012-1,29
1044,西城万寿西宫,63,II,可吸入颗粒物,良,2012-1,29
1045,朝阳奥体中心,60,II,可吸入颗粒物,良,2012-1,29
1046,海淀北京植物园,66,II,二氧化硫,良,2012-1,29
1047,丰台花园,62,II,可吸入颗粒物,良,2012-1,29
1048,通州新城,82,II,可吸入颗粒物,良,2012-1,29
1049,怀柔镇,60,II,可吸入颗粒物,良,2012-1,29
1050,东城东四,63,II,可吸入颗粒物,良,2012-1,30
1051,西城万寿西宫,69,II,可吸入颗粒物,良,2012-1,30
1052,朝阳奥体中心,68,II,可吸入颗粒物,良,2012-1,30
1053,海淀北京植物园,67,II,二氧化硫,良,2012-1,30
1054,丰台花园,69,II,可吸入颗粒物,良,2012-1,30
1055,通州新城,76,II,可吸入颗粒物,良,2012-1,30
1056,怀柔镇,57,II,可吸入颗粒物,良,2012-1,30
1057,东城东四,94,II,可吸入颗粒物,良,2012-1,31
1058,西城万寿西宫,92,II,可吸入颗粒物,良,2012-1,31
1059,朝阳奥体中心,92,II,可吸入颗粒物,良,2012-1,31
1060,海淀北京植物园,84,II,可吸入颗粒物,良,2012-1,31
1061,丰台花园,85,II,可吸入颗粒物,良,2012-1,31
1062,通州新城,105,III1,可吸入颗粒物,轻微污染,2012-1,31
1063,怀柔镇,91,II,可吸入颗粒物,良,2012-1,31
1064,东城东四,40,I,-,优,2012-2,1
1065,西城万寿西宫,33,I,-,优,2012-2,1
1066,朝阳奥体中心,29,I,-,优,2012-2,1
1067,海淀北京植物园,27,I,-,优,2012-2,1
1068,丰台花园,29,I,-,优,2012-2,1
1069,通州新城,44,I,-,优,2012-2,1
1070,怀柔镇,31,I,-,优,2012-2,1
1071,东城东四,30,I,-,优,2012-2,2
1072,西城万寿西宫,27,I,-,优,2012-2,2
1073,朝阳奥体中心,25,I,-,优,2012-2,2
1074,海淀北京植物园,14,I,-,优,2012-2,2
1075,丰台花园,26,I,-,优,2012-2,2
1076,通州新城,39,I,-,优,2012-2,2
1077,怀柔镇,32,I,-,优,2012-2,2
1078,东城东四,58,II,可吸入颗粒物,良,2012-2,3
1079,西城万寿西宫,61,II,可吸入颗粒物,良,2012-2,3
1080,朝阳奥体中心,57,II,可吸入颗粒物,良,2012-2,3
1081,海淀北京植物园,63,II,二氧化硫,良,2012-2,3
1082,丰台花园,72,II,可吸入颗粒物,良,2012-2,3
1083,通州新城,71,II,二氧化硫,良,2012-2,3
1084,怀柔镇,38,I,-,优,2012-2,3
1085,东城东四,55,II,可吸入颗粒物,良,2012-2,4
1086,西城万寿西宫,54,II,可吸入颗粒物,良,2012-2,4
1087,朝阳奥体中心,46,I,-,优,2012-2,4
1088,海淀北京植物园,47,I,-,优,2012-2,4
1089,丰台花园,57,II,可吸入颗粒物,良,2012-2,4
1090,通州新城,63,II,二氧化硫,良,2012-2,4
1091,怀柔镇,35,I,-,优,2012-2,4
1092,东城东四,79,II,可吸入颗粒物,良,2012-2,5
1093,西城万寿西宫,81,II,可吸入颗粒物,良,2012-2,5
1094,朝阳奥体中心,85,II,可吸入颗粒物,良,2012-2,5
1095,海淀北京植物园,86,II,二氧化硫,良,2012-2,5
1096,丰台花园,88,II,可吸入颗粒物,良,2012-2,5
1097,通州新城,81,II,可吸入颗粒物,良,2012-2,5
1098,怀柔镇,79,II,可吸入颗粒物,良,2012-2,5
1099,东城东四,117,III1,可吸入颗粒物,轻微污染,2012-2,6
1100,西城万寿西宫,114,III1,可吸入颗粒物,轻微污染,2012-2,6
1101,朝阳奥体中心,113,III1,可吸入颗粒物,轻微污染,2012-2,6
1102,海淀北京植物园,80,II,二氧化硫,良,2012-2,6
1103,丰台花园,112,III1,可吸入颗粒物,轻微污染,2012-2,6
1104,通州新城,162,III2,可吸入颗粒物,轻度污染,2012-2,6
1105,怀柔镇,94,II,可吸入颗粒物,良,2012-2,6
1106,东城东四,75,II,可吸入颗粒物,良,2012-2,7
1107,西城万寿西宫,62,II,可吸入颗粒物,良,2012-2,7
1108,朝阳奥体中心,59,II,可吸入颗粒物,良,2012-2,7
1109,海淀北京植物园,53,II,可吸入颗粒物,良,2012-2,7
1110,丰台花园,66,II,可吸入颗粒物,良,2012-2,7
1111,通州新城,61,II,可吸入颗粒物,良,2012-2,7
1112,怀柔镇,49,I,-,优,2012-2,7
1113,东城东四,38,I,-,优,2012-2,8
1114,西城万寿西宫,29,I,-,优,2012-2,8
1115,朝阳奥体中心,33,I,-,优,2012-2,8
1116,海淀北京植物园,24,I,-,优,2012-2,8
1117,丰台花园,35,I,-,优,2012-2,8
1118,通州新城,41,I,-,优,2012-2,8
1119,怀柔镇,23,I,-,优,2012-2,8
1120,东城东四,61,II,可吸入颗粒物,良,2012-2,9
1121,西城万寿西宫,53,II,可吸入颗粒物,良,2012-2,9
1122,朝阳奥体中心,61,II,可吸入颗粒物,良,2012-2,9
1123,海淀北京植物园,50,I,-,优,2012-2,9
1124,丰台花园,56,II,可吸入颗粒物,良,2012-2,9
1125,通州新城,73,II,可吸入颗粒物,良,2012-2,9
1126,怀柔镇,53,II,可吸入颗粒物,良,2012-2,9
1127,东城东四,51,II,可吸入颗粒物,良,2012-2,10
1128,西城万寿西宫,49,I,-,优,2012-2,10
1129,朝阳奥体中心,46,I,-,优,2012-2,10
1130,海淀北京植物园,47,I,-,优,2012-2,10
1131,丰台花园,53,II,可吸入颗粒物,良,2012-2,10
1132,通州新城,57,II,可吸入颗粒物,良,2012-2,10
1133,怀柔镇,50,I,-,优,2012-2,10
1134,东城东四,76,II,可吸入颗粒物,良,2012-2,11
1135,西城万寿西宫,76,II,可吸入颗粒物,良,2012-2,11
1136,朝阳奥体中心,73,II,可吸入颗粒物,良,2012-2,11
1137,海淀北京植物园,65,II,二氧化硫,良,2012-2,11
1138,丰台花园,79,II,可吸入颗粒物,良,2012-2,11
1139,通州新城,74,II,可吸入颗粒物,良,2012-2,11
1140,怀柔镇,75,II,可吸入颗粒物,良,2012-2,11
1141,东城东四,70,II,可吸入颗粒物,良,2012-2,12
1142,西城万寿西宫,69,II,可吸入颗粒物,良,2012-2,12
1143,朝阳奥体中心,75,II,可吸入颗粒物,良,2012-2,12
1144,海淀北京植物园,70,II,可吸入颗粒物,良,2012-2,12
1145,丰台花园,83,II,可吸入颗粒物,良,2012-2,12
1146,通州新城,85,II,可吸入颗粒物,良,2012-2,12
1147,怀柔镇,82,II,可吸入颗粒物,良,2012-2,12
1148,东城东四,104,III1,可吸入颗粒物,轻微污染,2012-2,13
1149,西城万寿西宫,98,II,可吸入颗粒物,良,2012-2,13
1150,朝阳奥体中心,105,III1,可吸入颗粒物,轻微污染,2012-2,13
1151,海淀北京植物园,96,II,二氧化硫,良,2012-2,13
1152,丰台花园,112,III1,可吸入颗粒物,轻微污染,2012-2,13
1153,通州新城,123,III1,可吸入颗粒物,轻微污染,2012-2,13
1154,怀柔镇,79,II,二氧化硫,良,2012-2,13
1155,东城东四,138,III1,可吸入颗粒物,轻微污染,2012-2,14
1156,西城万寿西宫,137,III1,可吸入颗粒物,轻微污染,2012-2,14
1157,朝阳奥体中心,124,III1,可吸入颗粒物,轻微污染,2012-2,14
1158,海淀北京植物园,114,III1,可吸入颗粒物,轻微污染,2012-2,14
1159,丰台花园,137,III1,可吸入颗粒物,轻微污染,2012-2,14
1160,通州新城,156,III2,可吸入颗粒物,轻度污染,2012-2,14
1161,怀柔镇,75,II,可吸入颗粒物,良,2012-2,14
1162,东城东四,65,II,可吸入颗粒物,良,2012-2,15
1163,西城万寿西宫,63,II,可吸入颗粒物,良,2012-2,15
1164,朝阳奥体中心,67,II,可吸入颗粒物,良,2012-2,15
1165,海淀北京植物园,53,II,二氧化硫,良,2012-2,15
1166,丰台花园,65,II,可吸入颗粒物,良,2012-2,15
1167,通州新城,73,II,可吸入颗粒物,良,2012-2,15
1168,怀柔镇,58,II,可吸入颗粒物,良,2012-2,15
1169,东城东四,64,II,可吸入颗粒物,良,2012-2,16
1170,西城万寿西宫,58,II,可吸入颗粒物,良,2012-2,16
1171,朝阳奥体中心,58,II,可吸入颗粒物,良,2012-2,16
1172,海淀北京植物园,53,II,可吸入颗粒物,良,2012-2,16
1173,丰台花园,53,II,可吸入颗粒物,良,2012-2,16
1174,通州新城,67,II,可吸入颗粒物,良,2012-2,16
1175,怀柔镇,53,II,可吸入颗粒物,良,2012-2,16
1176,东城东四,35,I,-,优,2012-2,17
1177,西城万寿西宫,32,I,-,优,2012-2,17
1178,朝阳奥体中心,29,I,-,优,2012-2,17
1179,海淀北京植物园,27,I,-,优,2012-2,17
1180,丰台花园,33,I,-,优,2012-2,17
1181,通州新城,58,II,可吸入颗粒物,良,2012-2,17
1182,怀柔镇,13,I,-,优,2012-2,17
1183,东城东四,28,I,-,优,2012-2,18
1184,西城万寿西宫,26,I,-,优,2012-2,18
1185,朝阳奥体中心,22,I,-,优,2012-2,18
1186,海淀北京植物园,21,I,-,优,2012-2,18
1187,丰台花园,30,I,-,优,2012-2,18
1188,通州新城,38,I,-,优,2012-2,18
1189,怀柔镇,21,I,-,优,2012-2,18
1190,东城东四,71,II,可吸入颗粒物,良,2012-2,19
1191,西城万寿西宫,79,II,可吸入颗粒物,良,2012-2,19
1192,朝阳奥体中心,60,II,可吸入颗粒物,良,2012-2,19
1193,海淀北京植物园,48,I,-,优,2012-2,19
1194,丰台花园,93,II,可吸入颗粒物,良,2012-2,19
1195,通州新城,79,II,可吸入颗粒物,良,2012-2,19
1196,怀柔镇,43,I,-,优,2012-2,19
1197,东城东四,73,II,可吸入颗粒物,良,2012-2,20
1198,西城万寿西宫,74,II,可吸入颗粒物,良,2012-2,20
1199,朝阳奥体中心,74,II,可吸入颗粒物,良,2012-2,20
1200,海淀北京植物园,57,II,二氧化硫,良,2012-2,20
1201,丰台花园,92,II,可吸入颗粒物,良,2012-2,20
1202,通州新城,111,III1,可吸入颗粒物,轻微污染,2012-2,20
1203,怀柔镇,59,II,可吸入颗粒物,良,2012-2,20
1204,东城东四,116,III1,可吸入颗粒物,轻微污染,2012-2,21
1205,西城万寿西宫,114,III1,可吸入颗粒物,轻微污染,2012-2,21
1206,朝阳奥体中心,116,III1,可吸入颗粒物,轻微污染,2012-2,21
1207,海淀北京植物园,95,II,可吸入颗粒物,良,2012-2,21
1208,丰台花园,115,III1,可吸入颗粒物,轻微污染,2012-2,21
1209,通州新城,154,III2,可吸入颗粒物,轻度污染,2012-2,21
1210,怀柔镇,119,III1,可吸入颗粒物,轻微污染,2012-2,21
1211,东城东四,109,III1,可吸入颗粒物,轻微污染,2012-2,22
1212,西城万寿西宫,110,III1,可吸入颗粒物,轻微污染,2012-2,22
1213,朝阳奥体中心,115,III1,可吸入颗粒物,轻微污染,2012-2,22
1214,海淀北京植物园,108,III1,可吸入颗粒物,轻微污染,2012-2,22
1215,丰台花园,118,III1,可吸入颗粒物,轻微污染,2012-2,22
1216,通州新城,127,III1,可吸入颗粒物,轻微污染,2012-2,22
1217,怀柔镇,118,III1,可吸入颗粒物,轻微污染,2012-2,22
1218,东城东四,78,II,可吸入颗粒物,良,2012-2,23
1219,西城万寿西宫,69,II,可吸入颗粒物,良,2012-2,23
1220,朝阳奥体中心,78,II,可吸入颗粒物,良,2012-2,23
1221,海淀北京植物园,63,II,可吸入颗粒物,良,2012-2,23
1222,丰台花园,66,II,可吸入颗粒物,良,2012-2,23
1223,通州新城,83,II,可吸入颗粒物,良,2012-2,23
1224,怀柔镇,59,II,可吸入颗粒物,良,2012-2,23
1225,东城东四,72,II,可吸入颗粒物,良,2012-2,24
1226,西城万寿西宫,70,II,可吸入颗粒物,良,2012-2,24
1227,朝阳奥体中心,71,II,可吸入颗粒物,良,2012-2,24
1228,海淀北京植物园,67,II,可吸入颗粒物,良,2012-2,24
1229,丰台花园,74,II,可吸入颗粒物,良,2012-2,24
1230,通州新城,74,II,可吸入颗粒物,良,2012-2,24
1231,怀柔镇,71,II,可吸入颗粒物,良,2012-2,24
1232,东城东四,64,II,可吸入颗粒物,良,2012-2,25
1233,西城万寿西宫,58,II,可吸入颗粒物,良,2012-2,25
1234,朝阳奥体中心,57,II,可吸入颗粒物,良,2012-2,25
1235,海淀北京植物园,51,II,可吸入颗粒物,良,2012-2,25
1236,丰台花园,58,II,可吸入颗粒物,良,2012-2,25
1237,通州新城,75,II,可吸入颗粒物,良,2012-2,25
1238,怀柔镇,40,I,-,优,2012-2,25
1239,东城东四,61,II,可吸入颗粒物,良,2012-2,26
1240,西城万寿西宫,58,II,可吸入颗粒物,良,2012-2,26
1241,朝阳奥体中心,57,II,可吸入颗粒物,良,2012-2,26
1242,海淀北京植物园,39,I,-,优,2012-2,26
1243,丰台花园,61,II,可吸入颗粒物,良,2012-2,26
1244,通州新城,76,II,可吸入颗粒物,良,2012-2,26
1245,怀柔镇,28,I,-,优,2012-2,26
1246,东城东四,99,II,可吸入颗粒物,良,2012-2,27
1247,西城万寿西宫,99,II,可吸入颗粒物,良,2012-2,27
1248,朝阳奥体中心,97,II,可吸入颗粒物,良,2012-2,27
1249,海淀北京植物园,79,II,可吸入颗粒物,良,2012-2,27
1250,丰台花园,106,III1,可吸入颗粒物,轻微污染,2012-2,27
1251,通州新城,105,III1,可吸入颗粒物,轻微污染,2012-2,27
1252,怀柔镇,69,II,可吸入颗粒物,良,2012-2,27
1253,东城东四,164,III2,可吸入颗粒物,轻度污染,2012-2,28
1254,西城万寿西宫,144,III1,可吸入颗粒物,轻微污染,2012-2,28
1255,朝阳奥体中心,163,III2,可吸入颗粒物,轻度污染,2012-2,28
1256,海淀北京植物园,128,III1,可吸入颗粒物,轻微污染,2012-2,28
1257,丰台花园,172,III2,可吸入颗粒物,轻度污染,2012-2,28
1258,通州新城,145,III1,可吸入颗粒物,轻微污染,2012-2,28
1259,怀柔镇,125,III1,可吸入颗粒物,轻微污染,2012-2,28
1260,东城东四,115,III1,可吸入颗粒物,轻微污染,2012-2,29
1261,西城万寿西宫,121,III1,可吸入颗粒物,轻微污染,2012-2,29
1262,朝阳奥体中心,115,III1,可吸入颗粒物,轻微污染,2012-2,29
1263,海淀北京植物园,114,III1,可吸入颗粒物,轻微污染,2012-2,29
